epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.69754,0.56717,2.77591,1.26946,0.01088,1,0.38016,0.35196,0.36811,3.1606,0.82871,0.000405983,0.000405983,0.000405983
2,17.8177,0.41655,1.97775,1.09454,0.64338,0.21427,0.51859,0.50621,0.3289,2.50122,0.84612,0.000822449,0.000822449,0.000822449
3,25.8638,0.39343,1.55033,1.06004,0.71666,0.69612,0.77617,0.74368,0.29898,1.94904,0.7897,0.00123811,0.00123811,0.00123811
4,33.8493,0.39858,1.39334,1.05626,0.55082,0.67556,0.57418,0.35741,0.76211,2.20149,1.46944,0.00124725,0.00124725,0.00124725
5,42.1183,0.369,1.20201,1.03344,0.65239,0.5727,0.54394,0.43399,0.63501,2.02781,1.24876,0.00124512,0.00124512,0.00124512
6,50.2484,0.3626,1.125,1.03739,0.39858,0.58333,0.60552,0.54024,0.47856,2.23797,0.99107,0.00124238,0.00124238,0.00124238
7,58.3848,0.35127,1.03634,1.01949,0.5071,0.75111,0.65914,0.65216,0.18831,1.70219,0.63212,0.00123904,0.00123904,0.00123904
8,67.1032,0.32879,1.01563,1.00282,0.71857,0.86118,0.82281,0.75919,0.43454,1.21341,0.96198,0.0012351,0.0012351,0.0012351
9,77.1165,0.3131,0.89472,1.00081,0.74695,0.79762,0.79606,0.73675,0.36179,1.31031,0.79881,0.00123056,0.00123056,0.00123056
10,87.2995,0.30728,0.84226,0.98866,0.61178,0.71403,0.66982,0.42924,0.98312,1.804,1.89716,0.00122543,0.00122543,0.00122543
11,97.2703,0.30934,0.82294,0.99399,0.70767,0.79578,0.87081,0.86493,0.2596,0.91387,0.69102,0.00121972,0.00121972,0.00121972
12,107.792,0.30534,0.83204,0.99528,0.67967,0.88931,0.8416,0.83578,0.20559,1.01427,0.64406,0.00121342,0.00121342,0.00121342
13,117.952,0.29595,0.79508,0.98755,0.77528,0.85093,0.85122,0.84986,0.23352,0.83969,0.64344,0.00120655,0.00120655,0.00120655
14,127.58,0.28709,0.76676,0.9697,0.76855,0.67644,0.80547,0.80547,0.16072,1.21094,0.56762,0.00119911,0.00119911,0.00119911
15,135.751,0.29053,0.73459,0.98197,0.65796,0.68934,0.71376,0.68412,0.303,1.17749,0.70675,0.00119111,0.00119111,0.00119111
16,143.168,0.2947,0.72505,0.98196,0.79968,0.77636,0.84706,0.80874,0.3513,1.10719,0.79677,0.00118256,0.00118256,0.00118256
17,150.714,0.27951,0.71627,0.96635,0.74613,0.81726,0.75249,0.73722,0.26094,1.13415,0.67954,0.00117346,0.00117346,0.00117346
18,158.188,0.271,0.68033,0.96376,0.68827,0.5613,0.52465,0.45869,0.58974,2.10855,1.64922,0.00116383,0.00116383,0.00116383
19,165.661,0.27933,0.68068,0.97663,0.80279,0.79704,0.76097,0.76097,0.18882,0.96238,0.60401,0.00115368,0.00115368,0.00115368
20,173.42,0.26919,0.63146,0.9699,0.82935,0.86513,0.87369,0.86221,0.22096,0.6697,0.65444,0.00114301,0.00114301,0.00114301
21,181.159,0.2794,0.66582,0.97334,0.80622,0.83302,0.83393,0.818,0.31326,0.84248,0.75265,0.00113183,0.00113183,0.00113183
22,191.518,0.26643,0.64996,0.96177,0.79266,0.87539,0.87261,0.8629,0.22632,0.76216,0.63988,0.00112016,0.00112016,0.00112016
23,201.541,0.25472,0.60273,0.95686,0.74955,0.76794,0.86554,0.84828,0.25859,1.04837,0.7119,0.00110801,0.00110801,0.00110801
24,210.148,0.26059,0.67347,0.96028,0.79012,0.84901,0.84438,0.82973,0.2389,0.80815,0.66317,0.00109538,0.00109538,0.00109538
