epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9227,0.58227,2.82264,1.27893,0.01771,1,0.37438,0.32896,0.34848,3.24102,1.08618,0.000404762,0.000404762,0.000404762
2,21.4857,0.41403,2.0293,1.0924,0.00682,1,0.64653,0.5766,0.46299,2.66796,1.17348,0.000813296,0.000813296,0.000813296
3,30.8245,0.39738,1.57818,1.06133,0.50904,0.71822,0.52295,0.49944,0.36239,2.21228,0.8741,0.00121358,0.00121358,0.00121358
4,40.3,0.40733,1.34165,1.07262,0.50101,0.52807,0.54978,0.3733,0.91472,2.3729,1.38788,0.00121287,0.00121287,0.00121287
5,49.9769,0.36718,1.20763,1.03909,0.64898,0.66059,0.66702,0.55836,0.46982,1.58856,0.98022,0.0012005,0.0012005,0.0012005
6,59.4719,0.35031,1.13626,1.02159,0.63761,0.77592,0.81937,0.75132,0.39297,1.27964,0.824,0.00118812,0.00118812,0.00118812
7,69.0449,0.3281,1.07962,1.01617,0.80706,0.74972,0.80131,0.72554,0.53411,1.31523,0.92043,0.00117575,0.00117575,0.00117575
8,78.5639,0.33571,0.97297,1.01079,0.73091,0.83053,0.86911,0.80804,0.31054,1.11561,0.776,0.00116337,0.00116337,0.00116337
9,87.9508,0.32492,0.92052,1.00088,0.84734,0.77569,0.87543,0.84078,0.31502,1.03711,0.77359,0.001151,0.001151,0.001151
10,97.4531,0.32764,0.9541,1.0081,0.81645,0.88778,0.88729,0.85601,0.30803,0.92069,0.78173,0.00113863,0.00113863,0.00113863
11,106.967,0.30941,0.88897,0.99672,0.80308,0.87516,0.90918,0.88259,0.29816,0.86501,0.77301,0.00112625,0.00112625,0.00112625
12,116.321,0.28256,0.82314,0.97153,0.74259,0.83745,0.8851,0.85978,0.30852,0.99101,0.77302,0.00111388,0.00111388,0.00111388
13,125.79,0.29327,0.81122,0.97871,0.85509,0.78068,0.90662,0.84915,0.35387,1.03631,0.82441,0.0011015,0.0011015,0.0011015
14,135.417,0.29239,0.82439,0.97531,0.8196,0.65048,0.88252,0.81891,0.4406,1.40533,0.98605,0.00108913,0.00108913,0.00108913
15,144.942,0.27352,0.79945,0.96516,0.84279,0.92753,0.92717,0.92381,0.25965,0.54718,0.66536,0.00107675,0.00107675,0.00107675
16,154.506,0.2716,0.75164,0.96623,0.89987,0.90857,0.94966,0.94224,0.2473,0.50741,0.66953,0.00106437,0.00106437,0.00106437
17,164.529,0.28161,0.76184,0.97253,0.88417,0.94062,0.93924,0.92948,0.23814,0.42725,0.67278,0.001052,0.001052,0.001052
18,174.249,0.27795,0.72246,0.96966,0.87762,0.9429,0.96306,0.95656,0.23967,0.48219,0.65483,0.00103962,0.00103962,0.00103962
19,183.885,0.28512,0.72436,0.97224,0.67948,0.86885,0.83135,0.81305,0.30794,0.87055,0.76901,0.00102725,0.00102725,0.00102725
20,193.681,0.27747,0.66475,0.97765,0.74813,0.85524,0.92375,0.90162,0.28118,0.77816,0.73617,0.00101488,0.00101488,0.00101488
21,203.686,0.28122,0.69813,0.97004,0.7366,0.91359,0.94503,0.92411,0.27103,0.69367,0.72786,0.0010025,0.0010025,0.0010025
22,213.159,0.26513,0.6679,0.96737,0.88473,0.88952,0.96084,0.95148,0.18634,0.46597,0.61028,0.000990125,0.000990125,0.000990125
23,222.532,0.26252,0.65647,0.95944,0.86345,0.94797,0.95972,0.85667,0.21931,0.64105,0.64465,0.00097775,0.00097775,0.00097775
24,231.84,0.25805,0.63857,0.95465,0.81589,0.94906,0.97126,0.95874,0.21668,0.46381,0.65786,0.000965375,0.000965375,0.000965375
25,241.223,0.2487,0.59581,0.95496,0.88185,0.96164,0.98011,0.97805,0.18163,0.3611,0.60993,0.000953,0.000953,0.000953
26,251.143,0.25437,0.62901,0.95776,0.94171,0.89711,0.97044,0.95385,0.30071,0.43571,0.74552,0.000940625,0.000940625,0.000940625
27,261.043,0.25906,0.61321,0.96475,0.88462,0.94988,0.9842,0.98346,0.15776,0.38539,0.5831,0.00092825,0.00092825,0.00092825
28,271.429,0.24926,0.60504,0.94796,0.76825,0.94919,0.97885,0.97404,0.25295,0.37795,0.68789,0.000915875,0.000915875,0.000915875
29,280.62,0.23553,0.59337,0.95541,0.86217,0.95626,0.96945,0.96834,0.17792,0.38683,0.60091,0.0009035,0.0009035,0.0009035
30,289.799,0.22963,0.59937,0.94129,0.94893,0.92305,0.98363,0.98028,0.18495,0.29053,0.60424,0.000891125,0.000891125,0.000891125
31,298.847,0.23612,0.58795,0.94664,0.75899,0.82581,0.87791,0.85347,0.33675,0.98843,0.83807,0.00087875,0.00087875,0.00087875
32,307.887,0.24106,0.57693,0.9482,0.9237,0.89255,0.95667,0.93809,0.30249,0.47358,0.74359,0.000866375,0.000866375,0.000866375
33,316.923,0.22994,0.54491,0.9448,0.94877,0.95162,0.96722,0.96294,0.24857,0.33032,0.68876,0.000854,0.000854,0.000854
34,325.939,0.23014,0.54424,0.94719,0.89108,0.87206,0.97749,0.96262,0.28564,0.4288,0.73323,0.000841625,0.000841625,0.000841625
35,335.082,0.23888,0.60186,0.95279,0.73926,0.91866,0.91516,0.8875,0.31735,0.74027,0.78397,0.00082925,0.00082925,0.00082925
36,344.24,0.23221,0.57903,0.95307,0.90403,0.89337,0.95184,0.90727,0.35483,0.46248,0.79662,0.000816875,0.000816875,0.000816875
37,353.372,0.24088,0.56463,0.95233,0.93915,0.89187,0.97158,0.96747,0.25359,0.41737,0.73869,0.0008045,0.0008045,0.0008045
38,362.503,0.2289,0.52355,0.9376,0.9443,0.9699,0.98254,0.981,0.22361,0.3593,0.69248,0.000792125,0.000792125,0.000792125
39,371.708,0.22694,0.5837,0.948,0.83389,0.91475,0.97412,0.97044,0.21723,0.52864,0.64898,0.00077975,0.00077975,0.00077975
40,380.915,0.22024,0.52145,0.9403,0.86327,0.88877,0.94997,0.94132,0.20883,0.4828,0.63491,0.000767375,0.000767375,0.000767375
41,390.036,0.22752,0.4974,0.94851,0.92105,0.94923,0.97193,0.9675,0.26084,0.36835,0.66972,0.000755,0.000755,0.000755
42,399.208,0.22281,0.52432,0.94119,0.91185,0.90137,0.9666,0.96593,0.20209,0.38032,0.62576,0.000742625,0.000742625,0.000742625
43,408.657,0.22184,0.51588,0.93871,0.95162,0.94423,0.98413,0.97499,0.22487,0.31523,0.65072,0.00073025,0.00073025,0.00073025
44,417.803,0.22146,0.47616,0.94398,0.96219,0.976,0.97805,0.97456,0.19837,0.26456,0.61788,0.000717875,0.000717875,0.000717875
45,426.992,0.21081,0.45762,0.93242,0.90296,0.92508,0.98114,0.97323,0.23805,0.44689,0.66213,0.0007055,0.0007055,0.0007055
46,436.462,0.2216,0.50208,0.94342,0.8437,0.98279,0.96943,0.96646,0.24093,0.38952,0.66565,0.000693125,0.000693125,0.000693125
47,445.861,0.21617,0.49477,0.93872,0.92091,0.93146,0.96654,0.94242,0.28513,0.38408,0.71786,0.00068075,0.00068075,0.00068075
48,455.466,0.21315,0.49276,0.93772,0.96133,0.93869,0.97896,0.97584,0.19568,0.26796,0.61514,0.000668375,0.000668375,0.000668375
49,464.718,0.2,0.47001,0.92947,0.90967,0.93338,0.95137,0.94661,0.22821,0.40087,0.65382,0.000656,0.000656,0.000656
50,473.837,0.21166,0.4657,0.94368,0.90379,0.92227,0.95365,0.9483,0.21718,0.31713,0.635,0.000643625,0.000643625,0.000643625
51,483.011,0.21025,0.4466,0.93236,0.91548,0.91701,0.97929,0.97255,0.22416,0.37569,0.64814,0.00063125,0.00063125,0.00063125
52,492.136,0.20699,0.43199,0.92781,0.94006,0.99042,0.99183,0.98749,0.19815,0.24571,0.61558,0.000618875,0.000618875,0.000618875
53,501.492,0.19941,0.44082,0.93498,0.89274,0.88039,0.95065,0.94317,0.21978,0.45609,0.64211,0.0006065,0.0006065,0.0006065
54,511.041,0.19709,0.41631,0.92644,0.96479,0.96123,0.9868,0.9868,0.18651,0.25952,0.61812,0.000594125,0.000594125,0.000594125
55,520.088,0.19344,0.43632,0.92618,0.83674,0.95533,0.98468,0.97706,0.24972,0.52109,0.67314,0.00058175,0.00058175,0.00058175
56,529.278,0.19756,0.43288,0.93287,0.87399,0.93988,0.96195,0.95561,0.19158,0.31852,0.62011,0.000569375,0.000569375,0.000569375
57,538.561,0.19238,0.41542,0.93267,0.95999,0.976,0.98754,0.98453,0.17356,0.23844,0.59537,0.000557,0.000557,0.000557
58,548.076,0.20157,0.43275,0.93734,0.96769,0.95642,0.9827,0.97683,0.18264,0.23452,0.60569,0.000544625,0.000544625,0.000544625
59,558.076,0.20221,0.42,0.92764,0.74836,0.85569,0.89348,0.88923,0.17072,0.72486,0.59974,0.00053225,0.00053225,0.00053225
60,567.816,0.20429,0.4247,0.93068,0.85233,0.93644,0.95098,0.94604,0.17753,0.40515,0.59934,0.000519875,0.000519875,0.000519875
