epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.43282,0.60746,2.81321,1.29259,0.00781,1,0.35061,0.29874,0.42081,3.21303,0.95796,0.000405983,0.000405983,0.000405983
2,17.6509,0.41959,1.95777,1.08905,0.88725,0.2429,0.48025,0.46983,0.26545,2.48315,0.74949,0.000806361,0.000806361,0.000806361
3,25.9472,0.39149,1.5468,1.0618,0.4222,0.67083,0.53888,0.38814,1.0401,2.71697,1.69883,0.00119024,0.00119024,0.00119024
4,34.0242,0.38086,1.28738,1.0366,0.54097,0.62614,0.59397,0.53385,0.43877,2.27066,0.97638,0.00117575,0.00117575,0.00117575
5,42.0521,0.35799,1.20032,1.02206,0.65786,0.63751,0.68056,0.50584,0.76769,2.26426,1.60932,0.001151,0.001151,0.001151
6,50.0718,0.33872,1.14857,1.02421,0.58108,0.76305,0.70362,0.63115,0.50391,1.70087,1.06373,0.00112625,0.00112625,0.00112625
7,58.1958,0.32481,1.00809,1.0093,0.79644,0.78602,0.83356,0.75016,0.46612,1.26989,0.99371,0.0011015,0.0011015,0.0011015
8,66.2275,0.3326,0.95693,0.99969,0.51594,0.86278,0.72197,0.67011,0.41202,1.46708,0.98084,0.00107675,0.00107675,0.00107675
9,74.2619,0.31404,0.91041,0.99871,0.4339,0.57315,0.39776,0.33366,0.41386,2.64003,0.94321,0.001052,0.001052,0.001052
10,82.398,0.31045,0.87548,0.99622,0.72177,0.71517,0.644,0.63037,0.25974,1.48637,0.6825,0.00102725,0.00102725,0.00102725
11,90.4644,0.28328,0.80099,0.9736,0.68562,0.88366,0.86611,0.81679,0.38199,1.1403,0.8487,0.0010025,0.0010025,0.0010025
12,98.3902,0.3095,0.8443,0.98903,0.80999,0.80818,0.88609,0.87658,0.22815,0.8707,0.6456,0.00097775,0.00097775,0.00097775
13,106.448,0.30208,0.81538,0.98111,0.87303,0.62724,0.87029,0.87029,0.19192,0.8753,0.61575,0.000953,0.000953,0.000953
14,114.598,0.27812,0.74193,0.97239,0.48295,0.88384,0.77877,0.73414,0.36251,1.06829,0.88029,0.00092825,0.00092825,0.00092825
15,122.526,0.27062,0.73576,0.97052,0.86173,0.89446,0.88484,0.8612,0.38062,0.65218,0.83284,0.0009035,0.0009035,0.0009035
16,130.566,0.27454,0.70861,0.97546,0.75024,0.89543,0.83835,0.82768,0.24263,0.87962,0.672,0.00087875,0.00087875,0.00087875
17,138.529,0.2569,0.68173,0.95826,0.53148,0.74167,0.62305,0.57645,0.35052,2.0566,0.8459,0.000854,0.000854,0.000854
18,146.563,0.26388,0.67307,0.96872,0.79934,0.8931,0.82208,0.81868,0.20757,0.75212,0.61462,0.00082925,0.00082925,0.00082925
19,154.511,0.25291,0.66258,0.9594,0.73141,0.95156,0.88595,0.88595,0.17089,0.72455,0.60181,0.0008045,0.0008045,0.0008045
20,162.468,0.24464,0.59968,0.9513,0.75722,0.85533,0.87687,0.87392,0.21708,0.87787,0.63444,0.00077975,0.00077975,0.00077975
21,170.408,0.25121,0.62252,0.95937,0.81883,0.9345,0.89714,0.89581,0.21891,0.52178,0.62108,0.000755,0.000755,0.000755
22,179.003,0.24125,0.60121,0.94992,0.81249,0.89505,0.87288,0.87058,0.21327,0.70421,0.64583,0.00073025,0.00073025,0.00073025
23,187.488,0.23361,0.61521,0.94932,0.77188,0.86841,0.90098,0.88798,0.24995,0.95111,0.66162,0.0007055,0.0007055,0.0007055
24,196.813,0.23018,0.61022,0.9473,0.75911,0.87514,0.87049,0.86243,0.15051,0.68551,0.55728,0.00068075,0.00068075,0.00068075
25,205.862,0.21734,0.57163,0.93703,0.81202,0.83582,0.88113,0.87963,0.17761,0.77834,0.60078,0.000656,0.000656,0.000656
26,214.967,0.22252,0.56386,0.94055,0.79292,0.90414,0.87177,0.8692,0.16808,0.64785,0.57801,0.00063125,0.00063125,0.00063125
27,223.834,0.21803,0.54998,0.94124,0.76406,0.83634,0.88526,0.88526,0.15636,0.75902,0.57146,0.0006065,0.0006065,0.0006065
28,232.795,0.22049,0.5407,0.93935,0.82128,0.93097,0.87985,0.87985,0.21233,0.5433,0.61778,0.00058175,0.00058175,0.00058175
29,241.638,0.21592,0.52606,0.94227,0.84782,0.95399,0.89874,0.89874,0.14731,0.48642,0.557,0.000557,0.000557,0.000557
30,250.576,0.20596,0.50799,0.93517,0.79479,0.88411,0.88285,0.88285,0.16832,0.74732,0.5808,0.00053225,0.00053225,0.00053225
31,259.269,0.20965,0.53829,0.93875,0.78691,0.88631,0.86461,0.83963,0.27311,0.72921,0.70063,0.0005075,0.0005075,0.0005075
32,268.019,0.20707,0.50169,0.9448,0.6884,0.90848,0.8631,0.85703,0.19586,0.75567,0.61024,0.00048275,0.00048275,0.00048275
33,276.824,0.20479,0.53739,0.93874,0.84753,0.8775,0.88032,0.87694,0.16255,0.56896,0.57122,0.000458,0.000458,0.000458
34,285.903,0.20486,0.48224,0.92848,0.8674,0.92224,0.90371,0.90371,0.13956,0.48933,0.54549,0.00043325,0.00043325,0.00043325
35,294.765,0.20478,0.48394,0.93989,0.7539,0.87626,0.86841,0.86841,0.1662,0.81541,0.57799,0.0004085,0.0004085,0.0004085
36,303.527,0.19481,0.45966,0.9284,0.79331,0.85155,0.8686,0.8686,0.16203,0.7993,0.57215,0.00038375,0.00038375,0.00038375
37,312.412,0.19759,0.46407,0.94165,0.76818,0.85103,0.85114,0.84965,0.17876,0.98611,0.58848,0.000359,0.000359,0.000359
38,321.214,0.19438,0.42664,0.92829,0.8129,0.94925,0.92546,0.92546,0.18431,0.59652,0.59204,0.00033425,0.00033425,0.00033425
39,330.084,0.18905,0.4154,0.93136,0.69186,0.87025,0.87772,0.87384,0.20149,0.97146,0.6141,0.0003095,0.0003095,0.0003095
40,339.021,0.18349,0.41587,0.92389,0.78479,0.91374,0.86017,0.8569,0.19568,0.83955,0.60577,0.00028475,0.00028475,0.00028475
41,368.641,0.11985,0.34777,0.91056,0.79889,0.90459,0.90095,0.90095,0.15845,0.73832,0.55899,0.00026,0.00026,0.00026
42,377.332,0.11045,0.28587,0.90895,0.89194,0.92928,0.91229,0.91229,0.12402,0.41255,0.52747,0.00023525,0.00023525,0.00023525
43,386.676,0.11055,0.23415,0.90483,0.78374,0.92676,0.91743,0.91743,0.1282,0.49736,0.52941,0.0002105,0.0002105,0.0002105
44,395.405,0.10475,0.2268,0.91033,0.8816,0.94754,0.92858,0.92858,0.13134,0.35088,0.53115,0.00018575,0.00018575,0.00018575
45,404.299,0.10151,0.23234,0.90834,0.86996,0.98142,0.91195,0.91195,0.13342,0.37762,0.53733,0.000161,0.000161,0.000161
46,413.177,0.09886,0.21735,0.90346,0.86082,0.93269,0.90285,0.90285,0.12671,0.47636,0.52667,0.00013625,0.00013625,0.00013625
47,422.072,0.09387,0.21297,0.90514,0.81466,0.93998,0.88213,0.88213,0.1306,0.62074,0.53084,0.0001115,0.0001115,0.0001115
48,430.723,0.09239,0.21355,0.89992,0.85674,0.90576,0.8922,0.8922,0.12552,0.55786,0.52327,8.675e-05,8.675e-05,8.675e-05
49,439.572,0.0891,0.18321,0.89419,0.81743,0.96545,0.91315,0.91315,0.13033,0.51944,0.53552,6.2e-05,6.2e-05,6.2e-05
50,448.767,0.08476,0.18772,0.90898,0.86842,0.91978,0.92137,0.92137,0.12597,0.46364,0.52914,3.725e-05,3.725e-05,3.725e-05
