epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7298,0.53466,2.69617,1.23193,0.81588,0.25,0.39759,0.35672,0.48411,2.74536,1.04961,0.000411325,0.000411325,0.000411325
2,26.652,0.42946,1.82648,1.09937,0.51541,0.78703,0.58244,0.51878,0.46822,1.99241,0.95872,0.000819794,0.000819794,0.000819794
3,39.067,0.39377,1.42406,1.04975,0.4953,0.82823,0.69792,0.52092,0.76376,1.95605,1.22269,0.00122001,0.00122001,0.00122001
4,51.7184,0.37674,1.29454,1.04066,0.69418,0.85699,0.82907,0.80381,0.20576,1.3044,0.61791,0.00121287,0.00121287,0.00121287
5,63.7735,0.36314,1.21358,1.02546,0.58296,0.85,0.7412,0.68033,0.38415,1.78281,0.87401,0.0012005,0.0012005,0.0012005
6,77.0526,0.35351,1.11343,1.03129,0.39111,0.79104,0.72248,0.68699,0.36102,1.82711,0.82949,0.00118812,0.00118812,0.00118812
7,90.0772,0.3339,1.06333,1.01315,0.75766,0.80186,0.86921,0.86013,0.24307,1.05457,0.67152,0.00117575,0.00117575,0.00117575
8,102.008,0.32601,0.96073,0.99794,0.7378,0.84085,0.89243,0.89243,0.23412,1.11355,0.6604,0.00116337,0.00116337,0.00116337
9,114.048,0.31854,0.95484,1.00131,0.69301,0.88977,0.8492,0.82941,0.28943,0.95925,0.73081,0.001151,0.001151,0.001151
10,126.128,0.31694,0.90187,1.00112,0.75443,0.7659,0.80844,0.80086,0.1929,1.487,0.60634,0.00113863,0.00113863,0.00113863
11,138.443,0.29646,0.86165,0.9809,0.71226,0.86059,0.90091,0.88591,0.27607,0.91354,0.68321,0.00112625,0.00112625,0.00112625
12,149.703,0.32053,0.85304,0.99747,0.69462,0.70842,0.77463,0.64287,0.71516,3.83624,1.3927,0.00111388,0.00111388,0.00111388
13,161.445,0.29958,0.79712,0.98381,0.78416,0.85017,0.88396,0.87742,0.19156,0.75257,0.61921,0.0011015,0.0011015,0.0011015
14,172.62,0.28848,0.76793,0.97857,0.80772,0.78802,0.87085,0.86867,0.18007,0.85215,0.60412,0.00108913,0.00108913,0.00108913
15,183.808,0.29467,0.74726,0.98494,0.66201,0.77809,0.81906,0.81251,0.19887,1.11023,0.63376,0.00107675,0.00107675,0.00107675
16,195.349,0.28491,0.77454,0.97074,0.79541,0.90883,0.88654,0.88048,0.21229,0.65875,0.62265,0.00106437,0.00106437,0.00106437
17,207.103,0.27255,0.6926,0.96887,0.78519,0.81451,0.87182,0.86631,0.26965,0.83695,0.69503,0.001052,0.001052,0.001052
18,219.21,0.26809,0.70317,0.9706,0.76806,0.94132,0.87569,0.87569,0.19674,0.6524,0.64179,0.00103962,0.00103962,0.00103962
19,230.417,0.28165,0.71761,0.97124,0.84891,0.90161,0.87926,0.8601,0.27785,0.61198,0.74323,0.00102725,0.00102725,0.00102725
20,241.707,0.27126,0.69052,0.9649,0.85574,0.88415,0.90659,0.90046,0.18502,0.55675,0.59931,0.00101488,0.00101488,0.00101488
21,253.418,0.26778,0.65269,0.96336,0.82911,0.94684,0.89705,0.89705,0.18592,0.54663,0.62573,0.0010025,0.0010025,0.0010025
22,265.226,0.2633,0.64225,0.9606,0.79064,0.87728,0.88754,0.88648,0.17556,0.65162,0.60572,0.000990125,0.000990125,0.000990125
23,276.883,0.26181,0.64737,0.96088,0.83315,0.89934,0.8918,0.89138,0.18719,0.6491,0.58856,0.00097775,0.00097775,0.00097775
24,288.925,0.24985,0.63173,0.95532,0.78592,0.80526,0.87656,0.8749,0.18296,0.71391,0.58371,0.000965375,0.000965375,0.000965375
25,300.17,0.25062,0.62166,0.95792,0.73438,0.92762,0.87446,0.87138,0.18188,0.67654,0.58617,0.000953,0.000953,0.000953
26,311.667,0.24401,0.5868,0.95418,0.7493,0.89275,0.9102,0.90895,0.18626,0.71829,0.59121,0.000940625,0.000940625,0.000940625
27,323.07,0.23315,0.57944,0.94683,0.83867,0.92042,0.9023,0.89811,0.1912,0.54637,0.61368,0.00092825,0.00092825,0.00092825
28,334.377,0.24457,0.58128,0.95654,0.82751,0.89437,0.89477,0.84595,0.38178,0.62244,0.8229,0.000915875,0.000915875,0.000915875
29,345.724,0.24322,0.57508,0.9596,0.80337,0.8306,0.90209,0.90046,0.24594,0.91881,0.66675,0.0009035,0.0009035,0.0009035
30,357.074,0.24879,0.57453,0.96108,0.84144,0.94878,0.90996,0.90721,0.185,0.45531,0.62407,0.000891125,0.000891125,0.000891125
31,368.697,0.2455,0.55282,0.95569,0.87367,0.93903,0.91317,0.89355,0.20224,0.53632,0.61153,0.00087875,0.00087875,0.00087875
32,380.148,0.25754,0.5631,0.96816,0.80561,0.86268,0.89379,0.8822,0.26697,0.63771,0.67787,0.000866375,0.000866375,0.000866375
33,391.871,0.24335,0.55469,0.95689,0.83561,0.91393,0.92086,0.91918,0.17896,0.56563,0.59746,0.000854,0.000854,0.000854
34,403.486,0.23332,0.52218,0.94392,0.85513,0.93054,0.90323,0.90323,0.17513,0.4516,0.57778,0.000841625,0.000841625,0.000841625
35,414.836,0.22582,0.5363,0.94908,0.79048,0.8732,0.89966,0.89617,0.16667,0.57556,0.57179,0.00082925,0.00082925,0.00082925
36,426.475,0.2234,0.51424,0.94224,0.79355,0.8829,0.89333,0.8927,0.20149,0.69366,0.5941,0.000816875,0.000816875,0.000816875
37,438.008,0.23515,0.54703,0.95447,0.84464,0.94788,0.90532,0.89277,0.22044,0.57196,0.63548,0.0008045,0.0008045,0.0008045
38,449.443,0.23572,0.55457,0.95373,0.86617,0.93316,0.92269,0.92269,0.17129,0.47831,0.59056,0.000792125,0.000792125,0.000792125
39,461.128,0.21576,0.50307,0.93763,0.84797,0.90899,0.87447,0.8735,0.1967,0.5743,0.60451,0.00077975,0.00077975,0.00077975
40,473.172,0.22453,0.48821,0.94703,0.86095,0.93213,0.92081,0.9194,0.18816,0.47549,0.59905,0.000767375,0.000767375,0.000767375
41,485.292,0.22656,0.49807,0.94954,0.75365,0.88163,0.86707,0.86223,0.17955,0.76669,0.57525,0.000755,0.000755,0.000755
42,497.031,0.22695,0.5045,0.94246,0.84843,0.90917,0.91276,0.90596,0.20409,0.54552,0.62119,0.000742625,0.000742625,0.000742625
43,509.814,0.23885,0.49522,0.95235,0.83531,0.89047,0.88128,0.88128,0.14614,0.52545,0.54617,0.00073025,0.00073025,0.00073025
44,521.823,0.21829,0.46959,0.94295,0.86434,0.92172,0.90322,0.90322,0.18357,0.45626,0.59934,0.000717875,0.000717875,0.000717875
45,533.904,0.21877,0.4848,0.93982,0.75638,0.82363,0.87695,0.87053,0.26163,0.86528,0.68552,0.0007055,0.0007055,0.0007055
46,546.06,0.21459,0.46769,0.94032,0.7429,0.87857,0.86393,0.86006,0.20808,0.8091,0.62316,0.000693125,0.000693125,0.000693125
47,557.984,0.20971,0.44525,0.93109,0.80368,0.81327,0.88483,0.88483,0.20887,0.67121,0.60854,0.00068075,0.00068075,0.00068075
48,570.208,0.20693,0.41883,0.93286,0.68628,0.91311,0.89898,0.89685,0.18896,0.87212,0.60099,0.000668375,0.000668375,0.000668375
49,582.611,0.20165,0.41823,0.9357,0.81146,0.93404,0.90244,0.89287,0.22899,0.5799,0.62984,0.000656,0.000656,0.000656
50,596.459,0.21051,0.41291,0.93768,0.83491,0.93502,0.90493,0.90493,0.15615,0.45995,0.5625,0.000643625,0.000643625,0.000643625
51,610.415,0.19811,0.42875,0.93882,0.84599,0.92444,0.92917,0.92108,0.21037,0.54352,0.62164,0.00063125,0.00063125,0.00063125
52,624.247,0.20325,0.45191,0.93958,0.79518,0.91403,0.87385,0.86992,0.17971,0.60439,0.58651,0.000618875,0.000618875,0.000618875
53,637.024,0.20585,0.46431,0.93039,0.79359,0.92216,0.88853,0.88364,0.1703,0.77666,0.57946,0.0006065,0.0006065,0.0006065
54,649.308,0.19892,0.44951,0.93069,0.75328,0.92702,0.87685,0.87685,0.16709,0.63208,0.56491,0.000594125,0.000594125,0.000594125
55,663.973,0.2019,0.45065,0.93611,0.80155,0.95136,0.93546,0.92688,0.18959,0.54756,0.60527,0.00058175,0.00058175,0.00058175
56,678.436,0.19701,0.40777,0.93195,0.83901,0.92642,0.91521,0.91521,0.14255,0.5534,0.5461,0.000569375,0.000569375,0.000569375
57,693.515,0.1947,0.40143,0.92024,0.81712,0.93869,0.89709,0.89645,0.16531,0.53911,0.57378,0.000557,0.000557,0.000557
58,707.973,0.1875,0.37664,0.92146,0.83141,0.9227,0.89516,0.89063,0.18679,0.57661,0.59238,0.000544625,0.000544625,0.000544625
59,722.826,0.19292,0.3831,0.92653,0.8551,0.93145,0.90455,0.90455,0.15787,0.46372,0.56087,0.00053225,0.00053225,0.00053225
60,737.689,0.19697,0.4005,0.93227,0.80505,0.8962,0.88522,0.88522,0.18102,0.70147,0.60487,0.000519875,0.000519875,0.000519875
61,752.387,0.19563,0.38295,0.92902,0.80605,0.88553,0.86138,0.86017,0.2077,0.76551,0.61981,0.0005075,0.0005075,0.0005075
62,766.828,0.19933,0.41205,0.93803,0.79881,0.88151,0.85205,0.849,0.18104,0.80022,0.58808,0.000495125,0.000495125,0.000495125
63,781.14,0.19306,0.39555,0.92982,0.80156,0.93011,0.88753,0.88753,0.14687,0.61756,0.55368,0.00048275,0.00048275,0.00048275
64,795.394,0.19103,0.37517,0.92351,0.82783,0.86387,0.85285,0.85222,0.16045,0.76362,0.56903,0.000470375,0.000470375,0.000470375
65,810.53,0.18254,0.36835,0.91953,0.71773,0.91483,0.83143,0.82875,0.1574,0.77385,0.56389,0.000458,0.000458,0.000458
66,825.417,0.19179,0.39531,0.93096,0.82783,0.92831,0.8913,0.8913,0.16022,0.61805,0.56145,0.000445625,0.000445625,0.000445625
67,840.026,0.18205,0.36651,0.92833,0.74611,0.88075,0.86591,0.86278,0.17324,0.81626,0.584,0.00043325,0.00043325,0.00043325
68,854.343,0.18776,0.34157,0.93214,0.82415,0.90843,0.90074,0.89999,0.19034,0.557,0.6062,0.000420875,0.000420875,0.000420875
69,868.374,0.18482,0.34832,0.93366,0.75636,0.8602,0.85444,0.84963,0.21087,1.01237,0.62684,0.0004085,0.0004085,0.0004085
70,883.569,0.1787,0.33315,0.92204,0.8409,0.91956,0.9034,0.9034,0.19763,0.59678,0.60044,0.000396125,0.000396125,0.000396125
71,897.845,0.18436,0.35388,0.92454,0.81731,0.91741,0.87665,0.87665,0.1649,0.67035,0.57661,0.00038375,0.00038375,0.00038375
72,912.958,0.18189,0.3601,0.92359,0.82745,0.91902,0.89279,0.88622,0.19386,0.53311,0.60665,0.000371375,0.000371375,0.000371375
73,927.392,0.17844,0.34272,0.9282,0.85653,0.92922,0.90513,0.90396,0.18599,0.47073,0.58821,0.000359,0.000359,0.000359
74,941.625,0.174,0.33074,0.92068,0.8023,0.84215,0.83993,0.83993,0.16207,0.75261,0.57256,0.000346625,0.000346625,0.000346625
75,956.121,0.17267,0.33409,0.91922,0.79979,0.94493,0.87501,0.87137,0.15069,0.67624,0.56221,0.00033425,0.00033425,0.00033425
76,971.146,0.17263,0.34098,0.92482,0.85545,0.90794,0.89202,0.88638,0.16874,0.51346,0.58616,0.000321875,0.000321875,0.000321875
77,985.527,0.17745,0.33472,0.91824,0.87949,0.93346,0.87445,0.87445,0.13784,0.47032,0.54704,0.0003095,0.0003095,0.0003095
