epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.5693,0.80487,3.12716,1.46661,0.00704,1,0.46868,0.40217,0.39588,3.27481,1.04593,0.0001625,0.0001625,0.0001625
2,51.2096,0.46127,2.39802,1.14988,0.02734,1,0.28472,0.23499,0.42157,3.13495,1.11035,0.000334159,0.000334159,0.000334159
3,78.4351,0.42134,1.8603,1.10021,0.02189,1,0.38585,0.35014,0.39318,2.48848,1.04535,0.000502353,0.000502353,0.000502353
4,108.983,0.39911,1.59747,1.06066,0.95845,0.25,0.32514,0.29468,0.3863,2.07295,0.9809,0.000667081,0.000667081,0.000667081
5,139.958,0.37951,1.36304,1.04963,0.00948,1,0.29197,0.26468,0.47979,2.66264,1.10852,0.000828345,0.000828345,0.000828345
6,166.301,0.40514,1.23162,1.06669,0.00782,0.875,0.2644,0.23443,0.58866,2.80147,1.23493,0.000986144,0.000986144,0.000986144
7,190.101,0.41965,1.13658,1.06392,0.81703,0.28271,0.32668,0.18436,0.90341,2.46737,2.42057,0.00114048,0.00114048,0.00114048
8,218.533,0.39175,1.094,1.06577,0.56183,0.40342,0.34958,0.27592,0.55783,2.50392,1.36216,0.00116337,0.00116337,0.00116337
9,247.586,0.38092,1.17166,1.05127,0.26964,0.45833,0.28533,0.17075,0.74199,3.02593,1.30356,0.001151,0.001151,0.001151
10,272.721,0.36201,1.08126,1.06176,0.26256,0.5879,0.30414,0.25954,0.5712,2.37046,1.15006,0.00113863,0.00113863,0.00113863
11,298.228,0.33299,0.95995,1.016,0.66178,0.45105,0.47655,0.34885,0.35255,2.00963,0.8468,0.00112625,0.00112625,0.00112625
12,322.029,0.347,0.98478,1.02819,0.38498,0.68908,0.70737,0.6242,0.29172,2.05075,0.80652,0.00111388,0.00111388,0.00111388
13,348.431,0.35496,0.98582,1.03554,0.42493,0.63259,0.4833,0.43195,0.69709,3.16276,1.2331,0.0011015,0.0011015,0.0011015
14,371.816,0.34499,1.07839,1.03501,0.38842,0.70833,0.51338,0.49654,0.29584,1.63799,0.78333,0.00108913,0.00108913,0.00108913
15,397.339,0.35101,0.95675,1.02257,0.6979,0.84938,0.80383,0.71228,0.48582,0.9401,0.93723,0.00107675,0.00107675,0.00107675
16,420.261,0.33125,0.90746,1.00962,0.71367,0.84336,0.8136,0.74087,0.37082,0.84132,0.95283,0.00106437,0.00106437,0.00106437
17,445.507,0.34674,0.93332,1.0112,0.63828,0.9295,0.8955,0.82679,0.43648,0.69746,1.02738,0.001052,0.001052,0.001052
18,468.466,0.34083,0.90124,0.99879,0.84814,0.625,0.75911,0.66861,0.48124,1.03928,0.91751,0.00103962,0.00103962,0.00103962
19,493.679,0.33129,0.88638,1.00147,0.61447,0.68353,0.76007,0.62462,0.69478,0.94594,1.47569,0.00102725,0.00102725,0.00102725
20,519.002,0.30693,0.86564,1.0005,0.66243,0.87361,0.833,0.7746,0.40891,0.50906,0.96205,0.00101488,0.00101488,0.00101488
21,541.88,0.32291,0.81468,0.99881,0.92555,0.625,0.85324,0.82552,0.28408,0.54837,0.77817,0.0010025,0.0010025,0.0010025
22,564.713,0.30353,0.80207,0.98513,0.7556,0.77482,0.872,0.82317,0.30247,0.60127,0.84081,0.000990125,0.000990125,0.000990125
23,587.503,0.30239,0.85168,1.00695,0.56853,0.84313,0.72777,0.64884,0.35344,0.56273,0.91544,0.00097775,0.00097775,0.00097775
24,613.598,0.31262,0.77375,0.99862,0.55082,0.75,0.7341,0.56937,0.40202,0.6423,0.84853,0.000965375,0.000965375,0.000965375
25,637.452,0.29134,0.80987,0.97467,0.37484,0.71776,0.58961,0.49184,0.4057,1.09979,1.05212,0.000953,0.000953,0.000953
26,661.051,0.31163,0.77589,0.97784,0.64703,0.59041,0.59868,0.53891,0.50852,1.43245,1.1352,0.000940625,0.000940625,0.000940625
27,684.842,0.27846,0.75051,0.9702,0.71776,0.88462,0.87867,0.86369,0.25748,0.45294,0.71251,0.00092825,0.00092825,0.00092825
28,708.304,0.31447,0.72839,0.99334,0.72337,0.79167,0.85367,0.85367,0.26892,0.34953,0.72226,0.000915875,0.000915875,0.000915875
29,731.168,0.28957,0.72156,0.97557,0.81755,0.875,0.87438,0.86074,0.27858,0.37896,0.79307,0.0009035,0.0009035,0.0009035
30,753.836,0.2849,0.7034,0.98058,0.85487,0.66667,0.78978,0.7868,0.29927,0.78816,0.75917,0.000891125,0.000891125,0.000891125
31,776.46,0.28762,0.72198,0.98196,0.91097,0.66667,0.82658,0.82434,0.32846,0.44631,0.78485,0.00087875,0.00087875,0.00087875
32,799.114,0.28015,0.65222,0.97155,0.81057,0.79167,0.89938,0.88398,0.20949,0.34079,0.67096,0.000866375,0.000866375,0.000866375
33,821.764,0.2756,0.71047,0.96018,0.71442,0.99056,0.962,0.88446,0.49674,0.45755,1.16757,0.000854,0.000854,0.000854
34,844.447,0.26721,0.63717,0.94865,0.56065,0.81414,0.79366,0.7723,0.23876,0.53463,0.7629,0.000841625,0.000841625,0.000841625
